eta_almacenamiento,eta_temporal_real,diferencia_absoluta
1.7161017656885857,1.7161017656885857,0.0
1.4261457023465995,1.4261457023465995,0.0
1.597811892454349,1.597811892454349,0.0
0.7465940884774698,0.7465940884774698,0.0
1.38976048756903,1.38976048756903,0.0
0.7355139648198048,0.7355139648198048,0.0
1.5258285706029724,1.5258285706029724,0.0
1.7420615174235392,1.7420615174235392,0.0
1.5829730600013259,1.5829730600013259,0.0
1.4522992738758393,1.4522992738758393,0.0
1.3466726686190664,1.3466726686190664,0.0
1.9419477382861148,1.9419477382861148,0.0
1.690886900144117,1.690886900144117,0.0
1.5394406010566892,1.5394406010566892,0.0
1.0341111334540207,1.0341111334540207,0.0
1.3707585968449407,1.3707585968449407,0.0
1.377999709392149,1.377999709392149,0.0
1.116048892595198,1.116048892595198,0.0
1.3528839140077908,1.3528839140077908,0.0
1.8932265676350812,1.8932265676350812,0.0
0.7932048786757316,0.7932048786757316,0.0
1.6353533020075268,1.6353533020075268,0.0
1.3701850400450066,1.3701850400450066,0.0
1.5670040490524488,1.5670040490524488,0.0
1.067753280846477,1.067753280846477,0.0
1.3392637564667447,1.3392637564667447,0.0
1.6319620807240278,1.6319620807240278,0.0
1.2451251340718457,1.2451251340718457,0.0
1.1884365981925757,1.1884365981925757,0.0
1.7769530680487595,1.7769530680487595,0.0
2.038422794240172,2.038422794240172,0.0
1.3930160731903531,1.3930160731903531,0.0
0.7699326215471001,0.7699326215471001,0.0
1.1338372926986486,1.1338372926986486,0.0
1.7820649085201976,1.7820649085201976,0.0
1.0666823524838593,1.0666823524838593,0.0
0.887104519143981,0.887104519143981,0.0
0.989971487210263,0.989971487210263,0.0
1.7659334773238975,1.7659334773238975,0.0
1.4561007400324946,1.4561007400324946,0.0
2.496189490323794,2.496189490323794,0.0
1.8850897880539847,1.8850897880539847,0.0
0.8525898578341728,0.8525898578341728,0.0
1.158477162279181,1.158477162279181,0.0
1.4295209342583695,1.4295209342583695,0.0
1.7304449682309389,1.7304449682309389,0.0
1.5790457003292033,1.5790457003292033,0.0
1.1496977734011846,1.1496977734011846,0.0
1.981369189650356,1.981369189650356,0.0
1.4188830837889106,1.4188830837889106,0.0
1.3231659081372174,1.3231659081372174,0.0
1.525145654969693,1.525145654969693,0.0
1.7801362485456578,1.7801362485456578,0.0
1.5011406374733849,1.5011406374733849,0.0
1.9363584366788298,1.9363584366788298,0.0
1.5301681546729733,1.5301681546729733,0.0
1.182962103598215,1.182962103598215,0.0
0.8674702386084508,0.8674702386084508,0.0
1.403676686411832,1.403676686411832,0.0
0.5945731229027067,0.5945731229027067,0.0
0.28863431621655244,0.28863431621655244,0.0
0.9890884028395529,0.9890884028395529,0.0
0.9502253824463334,0.9502253824463334,0.0
1.0242655719118803,1.0242655719118803,0.0
0.03830530700199033,0.03830530700199033,0.0
1.5152488674292954,1.5152488674292954,0.0
2.045854108714335,2.045854108714335,0.0
1.3376969052716692,1.3376969052716692,0.0
1.1827036416926273,1.1827036416926273,0.0
1.7670205566239614,1.7670205566239614,0.0
1.089479277477201,1.089479277477201,0.0
1.4174180484153107,1.4174180484153107,0.0
0.9818899981510238,0.9818899981510238,0.0
1.7818203590224415,1.7818203590224415,0.0
1.2466791960419774,1.2466791960419774,0.0
1.1262968784728569,1.1262968784728569,0.0
1.54417034455571,1.54417034455571,0.0
1.9820664512337942,1.9820664512337942,0.0
1.430796108558158,1.430796108558158,0.0
2.0775868891123013,2.0775868891123013,0.0
1.6144821940495455,1.6144821940495455,0.0
1.4959571064601984,1.4959571064601984,0.0
0.7592162426357812,0.7592162426357812,0.0
1.809212075200934,1.809212075200934,0.0
0.13303144912737566,0.13303144912737566,0.0
1.7310786903347282,1.7310786903347282,0.0
1.606382397251796,1.606382397251796,0.0
1.2310067498398989,1.2310067498398989,0.0
1.565178146752523,1.565178146752523,0.0
1.6282254862715326,1.6282254862715326,0.0
1.5144589390379022,1.5144589390379022,0.0
1.3532435192957453,1.3532435192957453,0.0
2.0144934036824713,2.0144934036824713,0.0
1.976362848417827,1.976362848417827,0.0
1.5290375277062758,1.5290375277062758,0.0
1.5661351856797363,1.5661351856797363,0.0
0.7754096425867177,0.7754096425867177,0.0
1.652435646559769,1.652435646559769,0.0
1.4222353048732428,1.4222353048732428,0.0
1.3504606662196683,1.3504606662196683,0.0
1.7141969594744666,1.7141969594744666,0.0
0.81472369002302,0.81472369002302,0.0
0.993929476387638,0.993929476387638,0.0
1.7311671588489657,1.7311671588489657,0.0
1.3867803059924808,1.3867803059924808,0.0
0.963153105608979,0.963153105608979,0.0
1.7138132238964237,1.7138132238964237,0.0
1.0842604159343578,1.0842604159343578,0.0
1.5845626669002988,1.5845626669002988,0.0
1.709726947055651,1.709726947055651,0.0
1.725985842069535,1.725985842069535,0.0
1.1587444108258496,1.1587444108258496,0.0
