n_original,n_relleno_cola,n_efectivo,cola_target_constante,empates_intermedios
594,0,594,False,238
663,0,663,False,175
707,0,707,False,148
756,0,756,False,57
550,0,550,False,56
78,0,78,False,18
778,0,778,False,107
972,0,972,False,72
318,0,318,False,18
280,0,280,False,21
410,0,410,False,53
456,0,456,False,51
1046,0,1046,False,104
624,0,624,False,127
1176,0,1176,False,366
317,0,317,False,17
1153,0,1153,False,227
510,0,510,False,55
1457,0,1457,False,426
78,0,78,False,18
723,0,723,False,107
468,0,468,False,80
904,0,904,False,219
252,0,252,False,26
508,0,508,False,50
53,0,53,False,9
252,0,252,False,11
571,0,571,False,75
2346,0,2346,False,572
384,0,384,False,55
650,0,650,False,79
523,0,523,False,53
738,0,738,False,244
161,0,161,False,4
545,0,545,False,80
574,0,574,False,74
522,0,522,False,83
800,0,800,False,241
399,0,399,False,43
52,0,52,False,14
660,0,660,False,133
534,0,534,False,63
926,0,926,False,102
711,0,711,False,165
802,0,802,False,72
93,0,93,False,34
433,0,433,False,51
611,0,611,False,137
276,0,276,False,11
452,0,452,False,23
643,0,643,False,88
221,0,221,False,0
158,0,158,False,57
353,0,353,False,29
723,0,723,False,107
795,0,795,False,112
547,0,547,False,51
1015,0,1015,False,214
665,0,665,False,92
276,0,276,False,5
582,0,582,False,53
592,0,592,False,77
390,0,390,False,64
2092,0,2092,False,996
746,0,746,False,117
1327,0,1327,False,345
459,0,459,False,194
355,0,355,False,12
326,0,326,False,7
738,0,738,False,200
404,0,404,False,42
358,0,358,False,21
77,0,77,False,20
519,0,519,False,78
550,0,550,False,79
41,0,41,False,15
789,0,789,False,226
269,0,269,False,30
422,0,422,False,15
466,0,466,False,55
465,0,465,False,27
1509,0,1509,False,852
93,0,93,False,32
474,0,474,False,61
885,0,885,False,147
545,0,545,False,76
411,0,411,False,15
133,0,133,False,4
245,0,245,False,29
656,0,656,False,119
858,0,858,False,323
333,0,333,False,43
335,0,335,False,29
1090,0,1090,False,296
1136,0,1136,False,178
1484,0,1484,False,339
445,0,445,False,45
638,0,638,False,143
572,0,572,False,62
298,0,298,False,21
459,0,459,False,58
32,0,32,False,8
1107,0,1107,False,386
349,0,349,False,46
226,0,226,False,40
408,0,408,False,74
658,0,658,False,87
143,0,143,False,0
49,0,49,False,12
391,0,391,False,43
103,0,103,False,1
320,0,320,False,15
569,0,569,False,65
76,0,76,False,33
158,0,158,False,6
332,0,332,False,42
411,0,411,False,26
704,0,704,False,176
299,0,299,False,29
124,0,124,False,1
153,0,153,False,5
922,0,922,False,157
380,0,380,False,11
123,0,123,False,2
944,0,944,False,85
701,0,701,False,99
491,0,491,False,31
222,0,222,False,28
500,0,500,False,45
232,0,232,False,12
463,0,463,False,135
777,0,777,False,118
140,0,140,False,0
