n_puntos,ya_ordenado,n_inversiones,n_empates_temporales,frac_inversiones
721,True,0,281,0.0
694,True,0,123,0.0
278,True,0,31,0.0
994,True,0,115,0.0
48,True,0,18,0.0
310,True,0,34,0.0
579,True,0,202,0.0
353,True,0,33,0.0
457,True,0,46,0.0
251,True,0,12,0.0
664,True,0,255,0.0
330,True,0,32,0.0
407,True,0,104,0.0
216,True,0,17,0.0
218,True,0,14,0.0
520,True,0,57,0.0
641,True,0,94,0.0
1159,True,0,387,0.0
392,True,0,59,0.0
467,True,0,58,0.0
382,True,0,43,0.0
1708,True,0,482,0.0
266,True,0,11,0.0
1603,True,0,448,0.0
321,True,0,53,0.0
279,True,0,14,0.0
524,True,0,55,0.0
633,True,0,83,0.0
90,True,0,59,0.0
80,True,0,26,0.0
261,True,0,16,0.0
311,True,0,35,0.0
1016,True,0,328,0.0
395,True,0,55,0.0
1160,True,0,115,0.0
227,True,0,23,0.0
325,True,0,85,0.0
1153,True,0,124,0.0
313,True,0,38,0.0
342,True,0,18,0.0
270,True,0,3,0.0
233,True,0,11,0.0
693,True,0,114,0.0
464,True,0,49,0.0
103,True,0,5,0.0
354,True,0,26,0.0
108,True,0,2,0.0
493,True,0,238,0.0
259,True,0,2,0.0
683,True,0,84,0.0
809,True,0,299,0.0
1193,True,0,268,0.0
400,True,0,34,0.0
550,True,0,79,0.0
546,True,0,88,0.0
105,True,0,17,0.0
1379,True,0,558,0.0
44,True,0,12,0.0
1058,True,0,96,0.0
119,True,0,1,0.0
344,True,0,50,0.0
338,True,0,25,0.0
296,True,0,11,0.0
253,True,0,24,0.0
408,True,0,43,0.0
966,True,0,163,0.0
397,True,0,104,0.0
1158,True,0,338,0.0
877,True,0,253,0.0
653,True,0,87,0.0
452,True,0,24,0.0
658,True,0,83,0.0
38,True,0,2,0.0
391,True,0,104,0.0
366,True,0,58,0.0
1060,True,0,152,0.0
982,True,0,71,0.0
693,True,0,116,0.0
378,True,0,61,0.0
596,True,0,141,0.0
30,True,0,7,0.0
53,True,0,11,0.0
514,True,0,58,0.0
371,True,0,8,0.0
138,True,0,50,0.0
1503,True,0,484,0.0
694,True,0,125,0.0
447,True,0,36,0.0
467,True,0,48,0.0
463,True,0,30,0.0
358,True,0,23,0.0
583,True,0,63,0.0
352,True,0,40,0.0
585,True,0,135,0.0
122,True,0,1,0.0
533,True,0,85,0.0
214,True,0,29,0.0
327,True,0,24,0.0
557,True,0,86,0.0
757,True,0,260,0.0
69,True,0,15,0.0
151,True,0,4,0.0
376,True,0,24,0.0
550,True,0,70,0.0
486,True,0,67,0.0
58,True,0,0,0.0
1149,True,0,384,0.0
596,True,0,136,0.0
365,True,0,57,0.0
249,True,0,23,0.0
746,True,0,122,0.0
396,True,0,48,0.0
302,True,0,15,0.0
748,True,0,250,0.0
870,True,0,263,0.0
159,True,0,1,0.0
2163,True,0,750,0.0
471,True,0,48,0.0
78,True,0,17,0.0
610,True,0,226,0.0
400,True,0,53,0.0
716,True,0,85,0.0
248,True,0,9,0.0
645,True,0,130,0.0
450,True,0,45,0.0
48,True,0,12,0.0
400,True,0,54,0.0
53,True,0,0,0.0
326,True,0,33,0.0
1011,True,0,87,0.0
338,True,0,46,0.0
45,True,0,11,0.0
428,True,0,53,0.0
618,True,0,89,0.0
404,True,0,104,0.0
895,True,0,103,0.0
163,True,0,5,0.0
1004,True,0,295,0.0
275,True,0,36,0.0
404,True,0,56,0.0
330,True,0,24,0.0
1232,True,0,119,0.0
314,True,0,43,0.0
125,True,0,2,0.0
1368,True,0,492,0.0
202,True,0,5,0.0
662,True,0,91,0.0
604,True,0,60,0.0
726,True,0,107,0.0
792,True,0,112,0.0
53,True,0,10,0.0
50,True,0,16,0.0
228,True,0,9,0.0
466,True,0,58,0.0
203,True,0,12,0.0
1862,True,0,627,0.0
291,True,0,13,0.0
1601,True,0,379,0.0
538,True,0,77,0.0
599,True,0,143,0.0
435,True,0,58,0.0
1149,True,0,194,0.0
2318,True,0,1547,0.0
65,True,0,21,0.0
49,True,0,18,0.0
668,True,0,83,0.0
40,True,0,12,0.0
648,True,0,73,0.0
1254,True,0,519,0.0
592,True,0,224,0.0
135,True,0,23,0.0
47,True,0,11,0.0
397,True,0,33,0.0
258,True,0,33,0.0
250,True,0,27,0.0
566,True,0,65,0.0
384,True,0,30,0.0
618,True,0,239,0.0
286,True,0,6,0.0
530,True,0,75,0.0
342,True,0,49,0.0
861,True,0,82,0.0
252,True,0,4,0.0
48,True,0,15,0.0
1816,True,0,578,0.0
603,True,0,173,0.0
191,True,0,3,0.0
256,True,0,25,0.0
352,True,0,34,0.0
199,True,0,37,0.0
581,True,0,201,0.0
397,True,0,56,0.0
38,True,0,12,0.0
1226,True,0,97,0.0
542,True,0,92,0.0
